contract_id,client_id,contract_status_id,date_from,date_to,humanitarian_id
1,4598,2,2013-02-11,2014-02-11,
2,4607,2,2013-02-12,2013-08-12,h_8728
4,4616,6,2013-02-13,2013-04-08,
5,3673,6,2013-02-12,2014-02-13,
6,4412,6,2013-02-13,2013-03-13,
7,4619,4,2013-02-13,2013-08-13,
8,3264,2,2013-02-13,2015-12-23,
9,939,6,2013-02-13,2014-02-13,
10,4448,6,2013-02-12,2013-04-13,h_8566
11,4013,2,2013-02-12,2013-04-13,
12,4625,6,2013-02-12,2013-04-13,
13,1135,2,2013-02-15,2014-02-15,h_24969
14,3557,6,2013-02-17,2013-03-18,
15,4654,6,2013-02-17,2013-03-18,
16,4655,2,2013-02-19,2013-12-19,
17,4657,2,2013-02-19,2013-12-19,
18,4659,6,2013-02-19,2013-08-19,
19,4661,8,2013-02-19,2013-10-19,
20,4663,6,2013-02-19,2013-12-19,h_13371
21,4667,4,2013-02-19,2013-12-19,
22,9,6,2013-02-19,2013-03-19,
23,4649,4,2013-02-20,2013-03-20,h_11258
24,4671,2,2013-02-20,2013-08-20,
25,4324,2,2013-02-20,2014-01-22,
26,4674,2,2013-02-20,2013-03-20,
27,4649,2,2013-02-22,2013-03-22,h_11258
28,4599,6,2013-02-22,2013-12-22,
29,4695,4,2013-02-25,2013-04-25,
30,134,7,2013-02-25,2014-06-23,
31,4697,6,2013-02-25,2013-03-25,
32,4700,4,2013-02-26,2013-09-26,
33,4703,6,2013-02-26,2013-05-26,h_10715
34,4706,8,2013-02-26,2013-10-26,
35,4708,6,2013-02-26,2013-05-26,
36,4715,4,2013-02-26,2013-05-26,
37,4727,4,2013-02-27,2013-04-27,
38,4665,7,2013-02-27,2013-11-27,
39,4728,4,2013-02-27,2014-08-27,
40,4337,2,2013-02-27,2013-05-27,
41,4736,4,2013-03-01,2013-07-01,
42,4579,2,2013-03-01,2013-04-01,
43,4756,7,2013-03-04,2013-04-04,
44,4755,2,2013-03-04,2013-08-02,
45,4768,2,2013-03-04,2013-04-04,
46,4770,7,2013-03-04,2014-09-04,h_20104
47,4769,2,2013-03-04,2013-04-04,
48,4774,8,2013-03-05,2014-07-01,
49,163,4,2013-03-05,2013-11-05,
50,4784,6,2013-03-06,2013-05-06,
51,4785,2,2013-03-06,2013-05-06,
52,4787,6,2013-03-06,2013-05-06,
53,4790,5,2013-03-06,2013-05-06,
54,4799,4,2013-03-11,2013-05-11,
55,4721,4,2013-03-11,2013-05-11,
56,4810,3,2013-03-11,2015-06-30,h_20743
57,3846,4,2013-03-11,2013-12-11,
58,4812,4,2013-03-12,2013-12-12,
59,774,2,2013-03-12,2013-04-12,
60,4591,2,2013-03-12,2013-09-12,
61,216,2,2013-03-12,2014-06-18,
62,4816,2,2013-03-12,2013-05-12,
63,4571,8,2013-03-12,2013-09-02,
64,3386,8,2013-03-12,2013-11-12,
65,4818,2,2013-03-12,2013-07-31,
66,4641,4,2013-03-12,2015-09-12,
67,4838,7,2013-03-15,2013-04-15,
68,4819,2,2013-03-15,2013-09-15,
69,4840,2,2013-03-15,2013-04-15,
70,4850,4,2013-03-18,2013-12-18,
71,4854,4,2013-03-18,2015-06-18,
72,4422,8,2012-09-24,2013-05-18,
73,193,7,2013-03-19,2013-12-20,
74,4866,3,2013-03-19,2013-03-29,h_11633
75,4833,7,2013-03-19,2013-09-19,
76,4351,4,2013-03-19,2015-06-19,
77,4868,4,2013-03-19,2013-05-19,h_12013
78,2787,4,2013-03-19,2015-05-19,
79,4423,2,2013-03-19,2013-06-19,
80,4869,2,2013-03-19,2013-04-18,
81,4870,2,2013-03-19,2013-06-19,h_10024
82,4773,2,2013-03-19,2013-07-19,
83,4872,2,2013-03-19,2014-08-15,
84,4874,4,2013-03-19,2013-06-19,
85,3556,4,2013-03-19,2014-11-10,h_24213
86,4875,2,2013-03-19,2013-04-19,
87,4880,8,2013-03-20,2013-12-20,
88,4882,6,2013-03-20,2013-04-20,
89,4885,4,2013-03-20,2013-10-20,h_21783
90,4896,5,2013-03-22,2013-06-22,
91,4901,7,2013-03-22,2015-06-22,
92,2572,2,2013-03-25,2013-04-25,
93,294,1,2013-03-26,2013-09-30,
94,2874,6,2013-03-27,2013-09-27,
95,3769,4,2013-03-27,2013-04-27,
96,3913,8,2012-07-11,2014-11-29,
97,3498,2,2013-03-29,2013-04-29,
98,4950,4,2013-04-01,2013-09-01,
99,4968,4,2013-04-05,2013-10-05,
100,4988,7,2013-04-08,2013-05-13,
101,4989,6,2013-04-08,2013-05-08,
102,4639,6,2013-03-04,2013-05-04,
103,4996,8,2013-04-09,2013-09-10,
104,4998,8,2013-04-09,2013-06-09,
105,4999,8,2013-04-09,2013-09-09,
106,4360,4,2012-10-01,2014-09-15,
107,712,5,2013-04-09,2013-07-09,
108,4324,4,2013-04-09,2013-09-09,
109,5011,4,2013-04-10,2013-06-10,
110,5021,2,2013-04-12,2013-05-12,
111,4083,6,2013-04-15,2013-06-15,
112,472,7,2013-04-16,2013-10-10,
113,4778,6,2013-04-16,2013-06-16,
114,5015,6,2013-04-15,2013-05-16,
115,3245,7,2012-11-12,2013-08-17,
116,4302,2,2013-04-19,2014-01-31,
117,5037,7,2013-04-22,2013-06-22,
118,5023,6,2013-04-22,2013-06-22,
119,5039,8,2013-04-23,2013-10-23,
120,4600,2,2013-04-24,2013-05-24,
121,4145,2,2013-04-19,2013-06-30,
122,5010,4,2013-04-26,2013-12-26,h_13454
123,2036,2,2013-04-29,2013-05-29,
124,5076,4,2013-04-30,2013-10-30,
125,5078,4,2013-04-30,2013-11-30,
126,5079,2,2013-04-30,2013-07-30,
127,2023,1,2013-04-30,2013-08-30,
128,1964,2,2013-04-28,2013-06-30,h_15990
129,4438,2,2013-05-13,2013-06-13,
130,1007,4,2013-05-14,2013-06-15,
131,5105,2,2013-05-14,2013-07-14,
132,5113,7,2013-05-15,2014-07-15,h_8087
133,5119,2,2013-05-15,2013-06-15,
134,5083,6,2013-05-16,2013-07-30,
135,5122,4,2013-05-17,2013-06-17,
136,4777,7,2013-05-17,2013-08-17,
137,5124,2,2013-05-17,2013-06-17,
138,5139,3,2013-05-20,2013-11-20,
139,5143,4,2013-05-20,2013-08-20,
140,5149,2,2013-05-21,2013-07-04,h_12088
141,5147,7,2013-05-21,2013-08-21,
142,5152,4,2013-05-22,2013-09-22,
143,673,2,2013-05-22,2013-12-30,
144,5155,4,2013-05-22,2014-01-31,
145,4986,6,2013-05-13,2013-10-30,h_12116
146,5160,6,2013-05-22,2013-07-22,h_7235
147,5159,4,2013-05-22,2013-07-22,
148,4969,8,2013-05-22,2014-03-03,
149,4762,5,2013-04-22,2013-09-22,
150,5168,4,2013-05-24,2013-09-24,
151,5161,4,2013-05-24,2013-09-24,h_23168
152,4749,2,2013-05-27,2014-05-27,
153,5186,7,2013-05-27,2013-08-27,
154,608,7,2013-05-28,2013-11-28,
155,5188,5,2013-05-28,2013-06-18,
156,417,2,2013-05-28,2013-06-28,
157,5193,7,2013-05-29,2013-11-29,
