humanitarian_id,client_id
h_4884,
h_5679,
h_5706,
h_21849,17850.0
h_11737,19104.0
h_14833,19174.0
h_49,
h_6211,
h_23520,10556.0
h_20969,2124.0
h_2518,
h_4489,
h_2636,
h_20097,15915.0
h_18026,18724.0
h_13849,19088.0
h_15563,19152.0
h_4473,
h_16805,16907.0
h_4096,
h_4867,
h_2010,
h_2174,
h_21166,1897.0
h_9556,12735.0
h_4213,
h_1542,
h_11655,19013.0
h_59,
h_3213,
h_4954,
h_4590,
h_10829,18914.0
h_6605,
h_5979,
h_6161,
h_2046,
h_4581,
h_3359,
h_5353,
h_1642,
h_5705,
h_1137,
h_2829,
h_2846,
h_11621,18251.0
h_6812,
h_1720,
h_5969,
h_4881,
h_462,
h_20249,18866.0
h_3797,
h_725,
h_2497,
h_2590,
h_24249,19284.0
h_15386,18971.0
h_24046,18443.0
h_1911,
h_23635,17597.0
h_20966,18534.0
h_1109,
h_2232,
h_1526,
h_21178,19112.0
h_23568,17957.0
h_1866,
h_2113,
h_5873,
h_4135,
h_1253,
h_394,
h_25370,18885.0
h_24687,18452.0
h_23907,18167.0
h_5829,
h_15086,18270.0
h_4088,
h_1850,
h_8867,13951.0
h_4137,
h_17141,17538.0
h_9248,18092.0
h_7034,13411.0
h_3269,
h_12550,16506.0
h_22692,17465.0
h_18893,5315.0
h_16638,19230.0
h_5292,
h_14045,15813.0
h_16298,17257.0
h_8385,14123.0
h_10316,18031.0
h_16214,18181.0
h_22212,17191.0
h_12056,17285.0
h_8156,15812.0
h_7571,12163.0
h_24204,13760.0
h_11468,16611.0
h_5534,
h_16111,11393.0
h_6980,988.0
h_10487,18608.0
h_18901,11485.0
h_20360,13211.0
h_8653,16885.0
h_7372,19151.0
h_7841,13886.0
h_22136,14342.0
h_6101,
h_19998,16451.0
h_22002,19145.0
h_1989,
h_8171,19277.0
h_9759,18792.0
h_2360,
h_13612,2532.0
h_4131,
h_3362,
h_2913,
h_3826,
h_6632,
h_3313,
h_4861,
h_5921,
h_4565,
h_3817,
h_1216,
h_3649,
h_1398,
h_21190,18252.0
h_2473,
h_2016,
h_1067,
h_19315,18253.0
h_19316,18528.0
h_2454,
h_4913,
h_493,
h_1747,
h_4576,
h_1405,
h_4571,
h_2886,
h_6135,
h_2002,
h_5515,
h_5759,
h_5954,
h_5838,
h_5809,
h_3407,
h_23334,15797.0
h_7218,17709.0
h_5623,
h_3949,
h_388,
h_4694,
h_4097,
h_25116,18285.0
h_1379,
h_2868,
h_12589,17620.0
h_21257,18851.0
h_2202,
h_8020,16431.0
h_5404,
h_2047,
h_14837,6915.0
h_5574,
h_6024,
h_6745,
h_2499,
h_6292,
h_2744,
h_4445,
h_15412,10122.0
h_20025,17649.0
h_4687,
h_5062,
h_23993,13836.0
h_4388,
h_6829,
h_8638,16268.0
h_4784,
h_10419,8091.0
h_10502,14315.0
h_578,
h_5725,
h_6528,
h_124,
h_2275,
h_15990,1964.0
h_11471,16172.0
h_1476,
h_10085,15725.0
h_2366,
h_5522,
h_5946,
h_6219,
h_16488,19201.0
h_23493,17113.0
h_4741,
h_3536,
h_3525,
h_65,
h_5881,
h_14495,9821.0
h_1009,
h_1790,
h_15910,15987.0
h_2235,
h_23060,19135.0
h_2274,
h_13647,3604.0
h_18221,18554.0
h_17096,18552.0
h_4024,
h_2951,
h_5560,
h_12896,12329.0
h_16546,17537.0
h_12624,18563.0
h_13949,17350.0
h_7844,16894.0
h_4253,
h_9871,15073.0
h_22848,16798.0
h_5023,
h_21917,18306.0
h_8433,11850.0
h_8169,16239.0
h_18640,15099.0
h_17558,17740.0
h_16187,17150.0
h_1278,
h_3399,
h_1638,
h_1939,
h_18329,19205.0
h_987,
h_981,
h_897,
h_3428,
h_5207,
h_3943,
h_3161,
h_3935,
h_945,
h_3520,
h_2834,
h_187,
h_4178,
h_5890,
h_3024,
h_22499,17977.0
h_4515,
h_860,
h_20957,18560.0
h_3650,
h_4584,
h_4194,
h_1616,
h_1875,
h_2565,
